분류,이름,전화번호
2,성모연합의원,710-4474
2,연세참가정의학과의원,766-0075
1,신포김내과의원,777-0902
2,송재현가정의원,887-5775
2,이재준내과의원,883-6347
2,김훈수내과의원,889-3378
2,신흥메디컬의원,885-7582
2,인하대병원,890-3172
2,금강정형외과의원,881-7541
2,삼성내과의원,762-1137
2,인천기독병원,270-8444
1,가천대길병원,770-1200
2,웰빙내과의원,764-3800
2,열린이비인후과의원,765-7510
2,서울외과의원,746-7582
1,센트럴이비인후과의원,746-3579
2,영종국제병원,721-3000
2,로하스의원,715-6977
2,비앤씨의원,752-8800
2,서울연합의원,746-7740
2,수이비인후과의원,751-8274
2,스타소아청소년과의원,724-9003
2,영종바른이비인후과의원,751-5075
2,이엠EM365의원,752-1190
2,장튼튼내과의원,752-2388
2,키클소아청소년과의원,713-7950
2,편안내과의원,747-2236
1,피터팬소아청소년과의원,751-0306
2,하늘메디컬의원,752-6008
1,스카이한방병원,070-4722-9131
1,하늘정형외과의원,747-1321
2,모아연합소아청소년과의원,751-8275
2,연세공항의원,751-6119
2,영종삼성의원,752-8275
2,온누리내과의원,747-0470
1,인천국제공항의원,743-3119
2,참이비인후과의원,746-7578
2,튼튼소아청소년과의원,746-7588
1,예스삼성소아청소년과의원,752-9722
2,힐락암요양병원,746-8100
3,연안의원,888-0033
3,베스트이비인후과의원,752-7582
