,분류,이름,전화번호,location,x_coordinate,y_coordinate
0,2,성모연합의원,710-4474,인천 중구 우현로 41,126.627884633934,37.4711104889702
1,2,연세참가정의학과의원,766-0075,인천 중구 우현로 47,126.628162982785,37.47151501569042
2,1,신포김내과의원,777-0902,인천 중구 우현로39번길 2,126.627826619574,37.47095533330113
3,2,송재현가정의원,887-5775,인천 중구 연안부두로33번길 36,126.605765593,37.45356644803363
4,2,이재준내과의원,883-6347,인천 중구 축항대로86번길 38,126.60485636766924,37.45367153242404
5,2,김훈수내과의원,889-3378,인천 중구 제물량로 65,126.634936566653,37.46596338272341
6,2,신흥메디컬의원,885-7582,인천 중구 도원로7번길 11,126.63578869567,37.4655344614373
7,2,인하대병원,890-3172,인천 중구 인항로 27,126.634164234522,37.4588539721174
8,2,금강정형외과의원,881-7541,인천 중구 서해대로494번길 1,126.63704169182505,37.46986404801129
9,2,삼성내과의원,762-1137,인천 중구 서해대로 476,126.636272257703,37.4683831311006
10,2,인천기독병원,270-8444,인천 중구 답동로30번길 10,126.632071402699,37.4714380045455
11,1,가천대길병원,770-1200,인천 남동구 남동대로774번길 21,126.709694847797,37.4520993874984
12,2,웰빙내과의원,764-3800,인천 중구 우현로 75,126.629731702137,37.4738796748203
13,2,열린이비인후과의원,765-7510,인천 중구 우현로 75,126.629731476488,37.4738795840052
14,2,서울외과의원,746-7582,인천 중구 운남로 167,126.532955396553,37.4926389012975
15,1,센트럴이비인후과의원,746-3579,인천 중구 흰바위로 258,126.503879986183,37.4784513602266
16,2,영종국제병원,721-3000,인천 중구 하늘별빛로65번길 7-9,126.56466845237,37.48847125467195
17,2,로하스의원,715-6977,인천 중구 하늘달빛로 94,126.557479508524,37.487298473058
18,2,비앤씨의원,752-8800,인천 중구 하늘중앙로225번길 3,126.55841042177012,37.4882020730469
19,2,서울연합의원,746-7740,인천 중구 하늘중앙로195번길 14,126.560772487856,37.4893556731343
20,2,수이비인후과의원,751-8274,인천 중구 하늘별빛로 75,126.56285376641948,37.4898106493878
21,2,스타소아청소년과의원,724-9003,인천 중구 자연대로 47,126.558945618824,37.4887131209275
22,2,영종바른이비인후과의원,751-5075,인천 중구 하늘달빛로 94,126.557479508524,37.487298473058
23,2,이엠EM365의원,752-1190,인천 중구 하늘달빛로 84,126.55814306275352,37.4867504449312
24,2,장튼튼내과의원,752-2388,인천 중구 하늘달빛로 94,126.557479503209,37.4872993740391
25,2,키클소아청소년과의원,713-7950,인천 중구 하늘별빛로65번길 8-11,126.56242840793723,37.4894576843914
26,2,편안내과의원,747-2236,인천 중구 하늘별빛로 71,126.563201515867,37.48951100133
27,1,피터팬소아청소년과의원,751-0306,인천 중구 하늘달빛로 94,126.5574749220636,37.4873092678913
28,2,하늘메디컬의원,752-6008,인천 중구 하늘중앙로 193,126.56064088792375,37.49039529905947
29,1,스카이한방병원,070-4722-9131,인천 중구 자연대로 47,126.558995252763,37.4887340418741
30,1,하늘정형외과의원,747-1321,인천 중구 하늘중앙로 193,126.56064314408262,37.49039620845064
31,2,모아연합소아청소년과의원,751-8275,인천 중구 흰바위로 51,126.49122735662536,37.49266838857969
32,2,연세공항의원,751-6119,인천 중구 공항로424번길 66,126.4619034723265,37.43898206666594
33,2,영종삼성의원,752-8275,인천 중구 영종대로 100,126.49004756269731,37.494888766193625
34,2,온누리내과의원,747-0470,인천 중구 신도시남로 137,126.49008756748862,37.49366178005581
35,1,인천국제공항의원,743-3119,인천 중구 공항로 271,126.452346738588,37.4476109663729
36,2,참이비인후과의원,746-7578,인천 중구 흰바위로 41,126.489496710038,37.492751022475
37,2,튼튼소아청소년과의원,746-7588,인천 중구 흰바위로 31,126.488460810471,37.492767084284
38,1,예스삼성소아청소년과의원,752-9722,인천 중구 영종대로 184,126.49867937580004,37.4922975002458
39,2,힐락암요양병원,746-8100,인천 중구 영종대로 106,126.490893565379,37.494865385162
40,3,연안의원,888-0033,인천 중구 연안부두로33번길 16,126.603881208244,37.4542773489972
41,3,베스트이비인후과의원,752-7582,인천 중구 신도시남로 137,126.490087420478,37.4936834033674
